t;id;lib;o
-;--;---;-
Activites;1;Climatisation;0
Activites;2;Chauffage;0
Activites;3;Ramonage;0
Activites;4;Plomberie;0
Activites;5;Petite Plomberie;0
Activites;6;Froid (Ex: Ch. Froide);0
Activites;7;Desenfumage;0
Activites;8;Gaineur;0
Activites;9;Nettoyage/Desinfection;0
Activites;10;Electricité;0
Activites;11;Zingueur;0
Activites;12;Ventilation;0
Activites;13;Assainissement;0
Activites;14;Detection GAZ / Incendie;0
Activites;15;Etude Structure;0
Activites;16;Calorifuges/Isolation;0
Activites;17;Vidange/pompage;0
Activites;18;Etancheité/Couverture/Zinguerie;0
Activites;19;Traitement de l'eau;0
Activites;20;Etancheur;0
ModeResolution;1;par téléphone;0
ModeResolution;2;en même temps que la visite d'entretien;0
ModeResolution;3;par fax;0
ModeResolution;4;intervention physique;0
Panne;1;Clim- Recherche de fuite (FF);0
Panne;2;Clim- Compresseur HS;0
Panne;3;Clim- Organes Frigo defaillant;0
Panne;4;Clim- Organes Frigo HS;0
Panne;5;Clim- Organe interne GE (Sonde,moteur,volute…);0
Panne;6;Clim- Organe interne UI  (Sonde,moteur,volute…);0
Panne;7;Clim- Carte electronique HS GE;0
Panne;8;Clim- Carte electronique HS UI;0
Panne;9;Clim- Telecommande HS;0
Panne;10;Clim- Manque d'entretien;0
Panne;11;Clim- Manque de puissance;0
Panne;12;Clim- Mauvaise utilisation;0
Panne;13;Clim- Filtre à remplacer;0
Panne;14;Clim- Pb Electrique (Cable coupé,non alimenté…);0
Panne;15;Clim- Fuite de condensats;0
Panne;16;Clim- Inter de proximité HS;0
Panne;17;Clim- Z- Autre;0
Panne;18;VMC- Caisson HS;0
Panne;19;VMC- Manque de débit d'air;0
Panne;20;VMC- Pb Electrique (Cable coupé,non alimenté…);0
Panne;21;VMC- Gaine arrachées/Non raccordée/Decrochée;0
Panne;22;VMC- Z- Autre;0
Panne;23;RAC- RAC HS;0
Panne;24;RAC- Resistance HS;0
Panne;25;RAC- Pb Electrique (Cable coupé,non alimenté…);0
Panne;26;RAC- Klixon enclenché;0
Panne;27;RAC- Klixon HS;0
Panne;28;RAC- Pb ventilation (Moteur/Volute);0
Panne;29;RAC- Pb Telecommande;0
Panne;30;Destrat- Destrat HS;0
Panne;31;Destrat- Pb Electrique (Cable coupé,non alimenté…);0
Panne;32;Destrat-  Pb Telecommande;0
Panne;34;Chambre froide- CF pas en temperature;0
Panne;35;Chambre froide- Organe Frigo HS;0
Panne;36;Chambre froide- Organe electrique HS;0
Panne;37;Chambre froide- Pb Electrique;0
Panne;38;Chambre froide- Pb Regulation;0
Panne;39;Chambre froide- Porte ouverte;0
Panne;40;Chambre froide- fuite condensats;0
Panne;41;NULL;0
Panne;42;Chaufferie- A completer;0
Panne;43;Chaudieres- A completer;0
Panne;44;Extracteur Labo- A completer;0
Panne;45;Plomberie- A completer;0
Panne;46;Ballon ECS- A completer;0
Panne;47;NULL;0
Panne;48;NULL;0
Panne;49;NULL;0
Panne;50;NULL;0
Societe;1;Ancien Salarié FMC;0
Societe;2;ACF;0
Societe;3;Broceliande;0
Societe;4;Equipage;0
Societe;5;Guerit;0
Societe;6;HPAC;0
Societe;7;LGC Climatisation;0
Societe;8;Mansuy;0
Societe;9;MISO;0
Societe;10;PPI;0
Societe;11;R-CLIM;0
Societe;12;SEE Sautereau;0
Societe;13;Solution Chauffage;0
Societe;14;LGC Climatisation;0
Societe;15;1A;0
Societe;16;Nord Climatisation;0
Societe;17;FCT;0
Societe;18;Aquaplanet;0
Societe;19;France Install;0
Societe;20;Chauffage Landividisiau;0
Societe;21;SFM Batiment;0
Societe;22;Loire Froid Climatisation;0
Societe;23;FC 17;0
Societe;24;FC Auvergne;0
Societe;25;CVC Froid;0
Societe;26;ECO2 CVC;0
Societe;27;SARL LEURS;0
Societe;28;SARL Frederic Lafon;0
Societe;29;Castillon Chauffage;0
Societe;30;SOOFLE;0
Societe;31;FMC (OGF Audit);0
Societe;32;EMD;0
Societe;33;GAZ TECHNIQUE;0
Societe;34;TREILLARD ETS;0
Societe;35;Maillet ETS;0
Societe;36;SAS MAGADOUX DEMARTY;0
Societe;37;EURL CCB Remi Borde;0
Societe;38;FERLUC;0
Societe;39;ATCS;0
Societe;40;BOULLARD ETS;0
Societe;41;ABBYS VIDANGE CORREZE;0
Societe;42;SI2G;0
Societe;43;SARL POMPES DENIS;0
Societe;44;FCCF;0
Societe;45;EURL SODECIS;0
Societe;46;GTC;0
Societe;47;SANICENTRE;0
Societe;48;A.AIR.CLIM;0
Societe;49;SAS 2R;0
Societe;50;Tekniclima;0
Societe;51;A DEFINIR;0
Societe;52;AMBIANCE CLIMATISATION;0
Societe;53;CFC34;0
Societe;54;DELTA T;0
Societe;55;EDDIA;0
Societe;56;DE2C;0
Societe;57;GENESTE CHAUFFAGE;0
Societe;58;BENEO;0
Societe;59;INVERT'AIR CLIMATISATION;0
Societe;60;AVIPUR;0
Societe;61;AMARI BRANDAO;0
Societe;62;Chaudiere;0
Societe;63;A.R.I.E.B;0
Societe;64;Visite;0
Societe;65;SAS CHAPELAT ANDRÉ;0
Societe;67;ACP;0
Societe;68;TWINS ENERGIE;0
Societe;69;EURL ACP;0
Societe;70;DARCHIS SARACHMAN;0
Societe;71;AUVERCLIM;0
Societe;72;SGA MEYER;0
Societe;73;Espace Chauffage;0
Societe;74;GTI;0
Societe;75;2M2D;0
Societe;76;Planete Froid;0
Societe;77;MAYANS ENERGIES;0
Societe;78;DARTHOU;0
Societe;79;MB Multi;0
Societe;80;EMDBEILLARD;0
Societe;81;AUVERGNE PRO CLIM;0
Societe;82;SAS ACGLS;0
Societe;83;JSENERGIE;0
Societe;84;THERMI SERVICE;0
Societe;85;ARITH CHAUFFAGE;0
Societe;86;SARL DEMOUGE;0
Societe;87;E2S;0
Societe;88;EUROENERGIE;0
Societe;89;SPEED PLOMBERIE;0
Societe;90;FATALOT;0
Societe;91;INDO;0
Societe;92;COTE NOUVELLES ENERGIES;0
Societe;93;BINET ENERGIES;0
Societe;94;ETS SERVAIS;0
Societe;95;THERMI CHAUFF;0
Societe;96;GB Services;0
Societe;97;BESOINS SERVICES 24;0
Societe;98;LC 74 PLOMBIER CHAUFFAGISTE;0
Societe;99;Atelier Thermique Corriou (ATC);0
Societe;100;SAS RAYNAUD;0
Societe;101;A Air Clim;0
Societe;102;SIMIE;0
Societe;103;CLIMCHAUD ENERGIES;0
Societe;104;CAPET THERMIE;0
Societe;105;ETS BRIFFAUT;0
Societe;106;LCO;0
Societe;107;FCT 13;0
Societe;108;SAS LEITAO;0
Societe;109;JENERGIE;0
Societe;110;FPCLIM;0
Societe;111;Z- FMC Clim (Ne pas effacer);0
Societe;112;Z- FMC Maintenance (Ne pas effacer);0
Societe;113;Z- FMC Bureau (Ne pas effacer);0
Societe;114;CR climatisation;0
Societe;115;AD CHAUFFAGE SERVICES;0
Societe;116;A2L CLIM;0
Societe;117;EURL BOUCHER;0
Societe;118;CUENOD;0
Societe;119;JHC GAZ;0
Societe;120;Sté NORMAND;0
Societe;121;IN&TECH;0
Societe;122;REVOLUTION'AIR;0
Societe;123;SN BRUNORI;0
Societe;124;DMC;0
Societe;125;KAYRO;0
SousType;1;Climatisation;0
SousType;2;Ventilation;0
SousType;3;Refrigeration;0
SousType;4;Plomberie;0
SousType;5;Chauffage;0
SousType;6;Groupe eau glacée;0
SousType;7;Gaz;0
SousType;8;Roof top;0
SousType;9;Electricité;0
SousType;11;FEVI (Extraction);0
StatusInterv;-1;Materiel à commander;1
StatusInterv;2;Attente Materiel;2
StatusInterv;1;A Planifier;3
StatusInterv;7;Cloturé;4
StatusInterv;8;Annulé avec accord client;5
StatusInterv;20;Annulé en interne;6
StatusInterv;9;Réalisé - A Valider;7
StatusInterv;10;Résolu par téléphone;8
StatusInterv;17;Ne pas Intervenir;9
StatusInterv;19;Attente Fiche;10
StatutFacture;1;A facturer;1
StatutFacture;2;A définir;2
StatutFacture;8;A definir (Par Fabien);3
StatutFacture;3;Non Facturable;4
StatutFacture;7;Non Facturable (SG);4
StatutFacture;4;Facturé;5
StatutFacture;6;Attendre 100% fini;6
StatutFacture;5;Facturé (au  trimestre);7
StatutFacture;9;Stand by;8
StatutFacture;10;En Attente de Commande;9
StatutFacture;11;SIRET Non renseigné;10
TypeAudit;1;1- A definir (Divers);0
TypeAudit;2;1- Boitier BS;0
TypeAudit;3;1- Telecommande;0
TypeAudit;4;1- Telec Centralisée;0
TypeAudit;5;1- Plenum Airzone;0
TypeAudit;6;1- Tel. Airzone;0
TypeAudit;7;1- Acc. Airzone;0
TypeAudit;8;1- Web Serveur Airzone;0
TypeAudit;9;1- Purificateur;0
