table_name;row_count
----------;---------
Activites;20
annuaire;0
Audit;1
AuditAerotherme;0
AuditClimatisation;0
AuditRegulationCommande;0
AuditRoofTop;0
C16;261
C24;108
C33;1690
ChampRepertoireTechnique;43
Client;2323
ClientCredential;2
ClientRMA;756
ClientRMANew;559
ClientUtilisateur;1
Climserv;13
Contact;57
ContratDeMaintenance;1276
Demande_Web;11
Devis;12336
DevisTravaux;6210
Donneur;103
dtproperties;7
EvVehicules;866
FicheIntervention;101837
FiltreClimAccessMobile;1
HeuresTech;102637
HeuresTechAuto;40000
HistoCnx;0
Intervenant;193
Intervention;71694
Intervention_Status_Changed_history;69883
InterventionFicheFluide;0
InterventionFourniture;0
InterventionTechnicien;81659
JoursFeries;4
Liste_Type_Gaz;5
ListeEtatVehicule;8
ListeEVVehicule;5
Marque;192
ModeleRepertoireTechnique;3
ModeResolution;4
Panne;49
PanneMaterielSite;0
parametre;1
parametre1;1
ParametreRepertoireTechnique;129
Photo;0
Plan;0
Plan1;166
Planification;166
planning;5
planning1;277
Plans;0
Reference;764
Repere;24
Site;6163
SiteMAJRegistre;22310
SiteMarqueReference;11
SiteMarqueReferenceDesenfumage;0
SiteMateriel;29511
SiteNombreEntretien;0
Societe;124
SousType;10
StatusInterv;10
StatutFacture;11
TopTen;0
TopTen1;0
TypeAudit;103
TypeFluide;13
TypeInterv;13
TypeTel;3
Utilisateur;317
Vehicules;38
VisitesMaint;6
ZoneGeographique;43
ZoneSociete;0
